Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto;
37;33;Del Giro;76426066-K;RECABAL OPAZO ASOCIADOS LIMITADA;178;14-11-2017;14-11-2017 9:41;0;4000000;760000;;;4760000;;;;;0;;;;;
38;61;Del Giro;76426066-K;RECABAL OPAZO ASOCIADOS LIMITADA;47;14-11-2017;14-11-2017 10:00;0;120000;22800;;;142800;;;;;0;;;;;
39;33;Del Giro;76381436-K;COMPRAVENTA DE REPUESTOS AUTOMOTRICES Y SERVICIOS ISFRAN LIMITADA;2522;14-11-2017;14-11-2017 10:01;0;15000;2850;;;17850;;;;;0;;;;;
40;33;Del Giro;76381436-K;COMPRAVENTA DE REPUESTOS AUTOMOTRICES Y SERVICIOS ISFRAN LIMITADA;2521;14-11-2017;14-11-2017 9:57;0;50000;9500;;;59500;;;;;0;;;;;
41;33;Del Giro;10072677-7;PEDRO IVAN CABRERA PINTO;4818;14-11-2017;14-11-2017 10:08;0;12605;2395;;;15000;;;;;0;;;;;
42;61;Del Giro;76426066-K;RECABAL OPAZO ASOCIADOS LIMITADA;48;14-11-2017;14-11-2017 10:02;0;120000;22800;;;142800;;;;;0;;;;;
43;33;Del Giro;76224812-3;AMOTOR S.A.;2078;07-11-2017;14-11-2017 10:02;0;180180;34234;;;214414;;;;;0;;;;;
44;33;Del Giro;96833950-8;SAFE MASTER S.A.;8483;14-11-2017;14-11-2017 10:03;0;136200;25878;;;162078;;;;;0;;;;;
45;33;Del Giro;76245828-4;Porsche Chile SpA;1229544;14-11-2017;14-11-2017 10:09;0;60614;11517;;;72131;;;;;0;;;;;
46;33;Del Giro;94707000-2;FERRETERIA COVADONGA LIMITADA;3341346;14-11-2017;14-11-2017 10:30;0;5319;1011;;;6330;;;;;0;;;;;
47;33;Del Giro;96918380-3;LABORUM CHILE ONLINE S.A.;13173;06-11-2017;14-11-2017 10:31;0;269115;51132;;;320247;;;;;0;;;;;
48;33;Del Giro;76390989-1;NISSAN NISSAN CHILE SPA;248161;14-11-2017;14-11-2017 10:58;0;248610;47236;;;295846;;;;;0;;;;;
49;33;Del Giro;76329872-8;NAVARRETE Y FLORES LIMITADA;1610;14-11-2017;14-11-2017 11:01;0;35000;6650;;;41650;;;;;0;;;;;
50;33;Del Giro;76381436-K;COMPRAVENTA DE REPUESTOS AUTOMOTRICES Y SERVICIOS ISFRAN LIMITADA;2523;14-11-2017;14-11-2017 10:42;0;120000;22800;;;142800;;;;;0;;;;;
51;33;Del Giro;76390989-1;NISSAN NISSAN CHILE SPA;248188;14-11-2017;14-11-2017 11:11;0;60224;11443;;;71667;;;;;0;;;;;
52;33;Del Giro;76245828-4;Porsche Chile SpA;1229566;14-11-2017;14-11-2017 10:51;0;303525;57670;;;361195;;;;;0;;;;;
53;33;Del Giro;13622249-K;NATALIA GENOVEVA SOTO ACOSTA;1674;14-11-2017;14-11-2017 10:57;0;82500;15675;;;98175;;;;;0;;;;;
54;33;Del Giro;76245828-4;Porsche Chile SpA;1229593;14-11-2017;14-11-2017 11:24;0;74369;14130;;;88499;;;;;0;;;;;
55;33;Del Giro;76245828-4;Porsche Chile SpA;1229594;14-11-2017;14-11-2017 11:24;0;74369;14130;;;88499;;;;;0;;;;;
56;33;Del Giro;78557650-0;CANDIA Y CIA LIMITADA;8617;14-11-2017;14-11-2017 11:01;0;29201;5548;;;34749;;;;;0;;;;;
57;33;Del Giro;96899100-0;COMERCIALIZADORA DITEC AUTOMOVILES S A;1126685;14-11-2017;14-11-2017 11:33;0;388524;73820;;;462344;;;;;0;;;;;
58;33;Del Giro;96364000-5;MMC Chile S.A.;435267;14-11-2017;14-11-2017 11:42;0;482807;91733;;;574540;;;;;0;;;;;
59;33;Del Giro;96984230-0;Ssangyong Motor Chile S.A.;361875;14-11-2017;14-11-2017 11:44;0;150000;28500;;;178500;;;;;0;;;;;
60;33;Del Giro;96984230-0;Ssangyong Motor Chile S.A.;361874;14-11-2017;14-11-2017 11:44;0;1012500;192375;;;1204875;;;;;0;;;;;
61;33;Del Giro;96984230-0;Ssangyong Motor Chile S.A.;361876;14-11-2017;14-11-2017 11:44;0;132966;25264;;;158230;;;;;0;;;;;
62;33;Del Giro;76044159-7;AUTOPLAZA S.A;17286;09-11-2017;14-11-2017 11:47;0;8817154;1675259;;;10492413;;;;;0;;;;;
63;33;Del Giro;84265600-1;COMERCIAL PIO NONO LIMITADA;37181;14-11-2017;14-11-2017 11:48;0;219391;41684;;;261075;;;;;0;;;;;
64;33;Del Giro;76245828-4;Porsche Chile SpA;1229609;14-11-2017;14-11-2017 11:52;0;281108;53411;;;334519;;;;;0;;;;;
65;33;Del Giro;76245828-4;Porsche Chile SpA;1229606;14-11-2017;14-11-2017 11:53;0;378937;71998;;;450935;;;;;0;;;;;
66;33;Del Giro;76044159-7;AUTOPLAZA S.A;17316;09-11-2017;14-11-2017 11:53;0;3787675;719658;;;4507333;;;;;0;;;;;
67;33;Del Giro;76044159-7;AUTOPLAZA S.A;17317;09-11-2017;14-11-2017 11:53;0;6251965;1187873;;;7439838;;;;;0;;;;;
68;33;Del Giro;78703910-3;FORD MOTOR COMPANY CHILE SPA;154901;14-11-2017;14-11-2017 11:58;0;161393;30665;;;192058;;;;;0;;;;;
69;33;Del Giro;78703910-3;FORD MOTOR COMPANY CHILE SPA;154902;14-11-2017;14-11-2017 11:58;0;434784;82609;;;517393;;;;;0;;;;;
70;33;Del Giro;78703910-3;FORD MOTOR COMPANY CHILE SPA;154903;14-11-2017;14-11-2017 11:58;0;12463;2368;;;14831;;;;;0;;;;;
71;33;Del Giro;78703910-3;FORD MOTOR COMPANY CHILE SPA;154904;14-11-2017;14-11-2017 11:58;0;63201;12008;;;75209;;;;;0;;;;;
72;33;Del Giro;78703910-3;FORD MOTOR COMPANY CHILE SPA;154905;14-11-2017;14-11-2017 11:58;0;23957;4552;;;28509;;;;;0;;;;;
73;33;Del Giro;78703910-3;FORD MOTOR COMPANY CHILE SPA;154906;14-11-2017;14-11-2017 11:58;0;12537;2382;;;14919;;;;;0;;;;;
74;33;Del Giro;78703910-3;FORD MOTOR COMPANY CHILE SPA;154907;14-11-2017;14-11-2017 11:58;0;127415;24209;;;151624;;;;;0;;;;;
75;33;Del Giro;78703910-3;FORD MOTOR COMPANY CHILE SPA;154908;14-11-2017;14-11-2017 11:58;0;1374842;261220;;;1636062;;;;;0;;;;;
76;33;Del Giro;78703910-3;FORD MOTOR COMPANY CHILE SPA;154909;14-11-2017;14-11-2017 11:58;0;661090;125607;;;786697;;;;;0;;;;;
77;33;Del Giro;76245828-4;Porsche Chile SpA;1229599;14-11-2017;14-11-2017 11:27;0;63205;12009;;;75214;;;;;0;;;;;
78;33;Del Giro;76044159-7;AUTOPLAZA S.A;17368;09-11-2017;14-11-2017 12:05;0;5335222;1013692;;;6348914;;;;;0;;;;;
79;33;Del Giro;77435230-9;Neumaticos y Llantas del Pacifico Ltda.;109834;14-11-2017;14-11-2017 12:09;0;82941;15759;;;98700;;;;;0;;;;;
80;33;Del Giro;78701740-1;WURTH CHILE LIMITADA;772274;14-11-2017;14-11-2017 12:12;0;98118;18642;;;116760;;;;;0;;;;;
81;33;Del Giro;76044159-7;AUTOPLAZA S.A;17429;09-11-2017;14-11-2017 12:21;0;3562388;676854;;;4239242;;;;;0;;;;;
82;33;Del Giro;96899100-0;COMERCIALIZADORA DITEC AUTOMOVILES S A;1126695;14-11-2017;14-11-2017 12:26;0;528895;100490;;;629385;;;;;0;;;;;
83;34;Del Giro;76464521-9;Latin American Wings S.A.;1574;14-11-2017;14-11-2017 11:43;35044;0;0;;;35044;;;;;0;;;;;
84;33;Del Giro;96364000-5;MMC Chile S.A.;435233;14-11-2017;14-11-2017 12:32;0;125323;23811;;;149134;;;;;0;;;;;
85;33;Del Giro;96364000-5;MMC Chile S.A.;435235;14-11-2017;14-11-2017 12:36;0;1143163;217201;;;1360364;;;;;0;;;;;
86;33;Del Giro;96364000-5;MMC Chile S.A.;435234;14-11-2017;14-11-2017 12:36;0;290926;55276;;;346202;;;;;0;;;;;
87;33;Del Giro;96364000-5;MMC Chile S.A.;435236;14-11-2017;14-11-2017 12:36;0;23531;4471;;;28002;;;;;0;;;;;
88;33;Del Giro;96364000-5;MMC Chile S.A.;435237;14-11-2017;14-11-2017 12:36;0;738144;140247;;;878391;;;;;0;;;;;
89;33;Del Giro;76832940-0;Newco Motor Chile S.A.;129122;14-11-2017;14-11-2017 12:38;0;170544;32403;;;202947;;;;;0;;;;;
90;33;Del Giro;97030000-7;BANCO DEL ESTADO DE CHILE;4783765;14-11-2017;14-11-2017 12:44;0;39981;7596;;;47577;;;;;0;;;;;
91;33;Del Giro;76040171-4;SKBergé Logística S.A.;82303;14-11-2017;14-11-2017 12:00;0;563315;107030;;;670345;;;;;0;;;;;
92;33;Del Giro;76245828-4;Porsche Chile SpA;1229618;14-11-2017;14-11-2017 12:16;0;2257;429;;;2686;;;;;0;;;;;
93;33;Del Giro;76245828-4;Porsche Chile SpA;1229617;14-11-2017;14-11-2017 12:16;0;82016;15583;;;97599;;;;;0;;;;;
94;33;Del Giro;76386751-K;COMERCIALIZADORA DISTRIBUIDORA E INVERSORA CONO ESTE LTDA.;747;14-11-2017;14-11-2017 12:56;0;99990;18998;;;118988;;;;;0;;;;;
95;33;Del Giro;76075087-5;COMERCIAL E INMOBILIARIA SOUNDTEK S.A.;2795;14-11-2017;14-11-2017 13:01;0;599900;113981;;;713881;;;;;0;;;;;
96;33;Del Giro;76619520-2;SOCIEDAD COMERCIALIZADORA Y DISTRIBUIDORA TORO BELLO Y OTRO LIMITADA;978;14-11-2017;14-11-2017 13:01;0;100840;19160;;;120000;;;;;0;;;;;
97;33;Del Giro;96792430-K;SODIMAC S.A.;87068121;14-11-2017;14-11-2017 13:13;0;80851;15362;;;96213;;;;;0;;;;;
98;33;Del Giro;76619520-2;SOCIEDAD COMERCIALIZADORA Y DISTRIBUIDORA TORO BELLO Y OTRO LIMITADA;979;14-11-2017;14-11-2017 13:04;0;58824;11177;;;70001;;;;;0;;;;;
99;33;Del Giro;11955547-7;FELIPE LUIS FUENTES ARAVENA;228;14-11-2017;14-11-2017 13:05;0;2370840;450460;;;2821300;;;;;0;;;;;
100;33;Del Giro;76619520-2;SOCIEDAD COMERCIALIZADORA Y DISTRIBUIDORA TORO BELLO Y OTRO LIMITADA;980;14-11-2017;14-11-2017 13:08;0;50420;9580;;;60000;;;;;0;;;;;
101;33;Del Giro;76619520-2;SOCIEDAD COMERCIALIZADORA Y DISTRIBUIDORA TORO BELLO Y OTRO LIMITADA;976;14-11-2017;14-11-2017 12:54;0;68067;12933;;;81000;;;;;0;;;;;
102;33;Del Giro;81915900-9;COOP DE SERVICIOS DE DUENOS DE AUTOTOBUS;94252;14-11-2017;14-11-2017 13:25;0;14845;2820;;;20000;;;;;0;;28;2335;1;
103;33;Del Giro;76514124-9;ALTAYO Y PINOCHET LIMITADA;228;14-11-2017;14-11-2017 13:10;0;35000;6650;;;41650;;;;;0;;;;;
104;33;Del Giro;76245828-4;Porsche Chile SpA;1229674;14-11-2017;14-11-2017 14:12;0;21936;4168;;;26104;;;;;0;;;;;
105;33;Del Giro;76245828-4;Porsche Chile SpA;1229678;14-11-2017;14-11-2017 14:12;0;211780;40238;;;252018;;;;;0;;;;;
106;33;Del Giro;76245828-4;Porsche Chile SpA;1229684;14-11-2017;14-11-2017 14:12;0;41110;7811;;;48921;;;;;0;;;;;
107;33;Del Giro;96899100-0;COMERCIALIZADORA DITEC AUTOMOVILES S A;1126724;14-11-2017;14-11-2017 14:17;0;12440;2364;;;14804;;;;;0;;;;;
108;33;Del Giro;76245828-4;Porsche Chile SpA;1229670;14-11-2017;14-11-2017 14:12;0;217431;41312;;;258743;;;;;0;;;;;
109;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;15613924;13-11-2017;14-11-2017 14:33;0;44142;8387;;;52529;;;;;0;;;;;
110;33;Del Giro;96931150-K;KIA CHILE S.A.;492474;14-11-2017;14-11-2017 14:14;0;14914;2834;;;17748;;;;;0;;;;;
111;33;Del Giro;93297000-7;SUBARU CHILE S.A.;166025;14-11-2017;14-11-2017 14:14;0;6716;1276;;;7992;;;;;0;;;;;
112;33;Del Giro;96931150-K;KIA CHILE S.A.;504225;14-11-2017;14-11-2017 14:37;0;1624823;308716;;;1933539;;;;;0;;;;;
113;33;Del Giro;76245828-4;Porsche Chile SpA;1229695;14-11-2017;14-11-2017 14:39;0;74369;14130;;;88499;;;;;0;;;;;
114;33;Del Giro;76245828-4;Porsche Chile SpA;1229697;14-11-2017;14-11-2017 14:39;0;89269;16961;;;106230;;;;;0;;;;;
115;33;Del Giro;76245828-4;Porsche Chile SpA;1229686;14-11-2017;14-11-2017 14:22;0;180035;34207;;;214242;;;;;0;;;;;
116;33;Del Giro;15373753-3;LUIS ALBERTO AREVALO YANEZ;70;14-11-2017;14-11-2017 14:25;0;165000;31350;;;196350;;;;;0;;;;;
117;33;Del Giro;96899100-0;COMERCIALIZADORA DITEC AUTOMOVILES S A;1126730;14-11-2017;14-11-2017 14:29;0;224399;42636;;;267035;;;;;0;;;;;
118;33;Del Giro;96716200-0;INV. E INMOBILIARIA EL ROSAL S.A. 96.716.200-0;6874;14-11-2017;14-11-2017 14:29;0;172682;32810;;;205492;;;;;0;;;;;
119;33;Del Giro;96716200-0;INV. E INMOBILIARIA EL ROSAL S.A. 96.716.200-0;6875;14-11-2017;14-11-2017 14:29;0;225238;42795;;;268033;;;;;0;;;;;
120;33;Del Giro;96716200-0;INV. E INMOBILIARIA EL ROSAL S.A. 96.716.200-0;6876;14-11-2017;14-11-2017 14:29;0;284348;54026;;;338374;;;;;0;;;;;
121;33;Del Giro;96716200-0;INV. E INMOBILIARIA EL ROSAL S.A. 96.716.200-0;6873;14-11-2017;14-11-2017 14:29;0;230037;43707;;;273744;;;;;0;;;;;
122;33;Del Giro;96364000-5;MMC Chile S.A.;435308;14-11-2017;14-11-2017 14:46;0;118575;22529;;;141104;;;;;0;;;;;
123;33;Del Giro;96364000-5;MMC Chile S.A.;435307;14-11-2017;14-11-2017 14:46;0;2050;390;;;2440;;;;;0;;;;;
124;33;Del Giro;96364000-5;MMC Chile S.A.;435310;14-11-2017;14-11-2017 14:46;0;46462;8828;;;55290;;;;;0;;;;;
125;33;Del Giro;96364000-5;MMC Chile S.A.;435312;14-11-2017;14-11-2017 14:46;0;449982;85497;;;535479;;;;;0;;;;;
126;33;Del Giro;96364000-5;MMC Chile S.A.;435311;14-11-2017;14-11-2017 14:46;0;1349946;256490;;;1606436;;;;;0;;;;;
127;33;Del Giro;96364000-5;MMC Chile S.A.;435314;14-11-2017;14-11-2017 14:46;0;2136582;405951;;;2542533;;;;;0;;;;;
128;33;Del Giro;96364000-5;MMC Chile S.A.;435309;14-11-2017;14-11-2017 14:46;0;46462;8828;;;55290;;;;;0;;;;;
129;33;Del Giro;96364000-5;MMC Chile S.A.;435315;14-11-2017;14-11-2017 14:46;0;19388;3684;;;23072;;;;;0;;;;;
130;33;Del Giro;96364000-5;MMC Chile S.A.;435313;14-11-2017;14-11-2017 14:46;0;20506;3896;;;24402;;;;;0;;;;;
131;33;Del Giro;96716200-0;INV. E INMOBILIARIA EL ROSAL S.A. 96.716.200-0;6919;14-11-2017;14-11-2017 14:30;0;43325;8232;;;51557;;;;;0;;;;;
132;33;Del Giro;96676670-0;Comercial Chrysler S.A.;474188;14-11-2017;14-11-2017 14:47;0;19585;3721;;;23306;;;;;0;;;;;
133;33;Del Giro;96676670-0;Comercial Chrysler S.A.;474187;14-11-2017;14-11-2017 14:47;0;103328;19632;;;122960;;;;;0;;;;;
134;33;Del Giro;96676670-0;Comercial Chrysler S.A.;474186;14-11-2017;14-11-2017 14:47;0;542225;103023;;;645248;;;;;0;;;;;
135;33;Del Giro;96555640-0;Comercial Itala S.A.;211430;14-11-2017;14-11-2017 14:49;0;32952;6261;;;39213;;;;;0;;;;;
136;33;Del Giro;96984230-0;Ssangyong Motor Chile S.A.;361898;14-11-2017;14-11-2017 14:50;0;42024;7985;;;50009;;;;;0;;;;;
137;33;Del Giro;96984230-0;Ssangyong Motor Chile S.A.;361895;14-11-2017;14-11-2017 14:50;0;1012500;192375;;;1204875;;;;;0;;;;;
138;33;Del Giro;96984230-0;Ssangyong Motor Chile S.A.;361899;14-11-2017;14-11-2017 14:50;0;81589;15502;;;97091;;;;;0;;;;;
139;33;Del Giro;96984230-0;Ssangyong Motor Chile S.A.;361897;14-11-2017;14-11-2017 14:50;0;236048;44849;;;280897;;;;;0;;;;;
140;33;Del Giro;96984230-0;Ssangyong Motor Chile S.A.;361900;14-11-2017;14-11-2017 14:50;0;49823;9466;;;59289;;;;;0;;;;;
141;33;Del Giro;96984230-0;Ssangyong Motor Chile S.A.;361896;14-11-2017;14-11-2017 14:50;0;3673;698;;;4371;;;;;0;;;;;
142;33;Del Giro;96984230-0;Ssangyong Motor Chile S.A.;361901;14-11-2017;14-11-2017 14:50;0;162230;30824;;;193054;;;;;0;;;;;
143;33;Del Giro;96984230-0;Ssangyong Motor Chile S.A.;361902;14-11-2017;14-11-2017 14:50;0;575708;109385;;;685093;;;;;0;;;;;
144;33;Del Giro;81318700-0;POMPEYO CARRASCO SPA;317135;14-11-2017;14-11-2017 14:51;0;134943;25639;;;160582;;;;;0;;;;;
145;33;Del Giro;96676670-0;Comercial Chrysler S.A.;477499;14-11-2017;14-11-2017 14:51;0;12748572;2422229;;;15170801;;;;;0;;;;;
146;33;Del Giro;96676670-0;Comercial Chrysler S.A.;477498;14-11-2017;14-11-2017 14:51;0;12748572;2422229;;;15170801;;;;;0;;;;;
147;33;Del Giro;96676670-0;Comercial Chrysler S.A.;477500;14-11-2017;14-11-2017 14:51;0;27051093;5139708;;;32190801;;;;;0;;;;;
148;33;Del Giro;96676670-0;Comercial Chrysler S.A.;477504;14-11-2017;14-11-2017 14:51;0;12748572;2422229;;;15170801;;;;;0;;;;;
149;33;Del Giro;96676670-0;Comercial Chrysler S.A.;477501;14-11-2017;14-11-2017 14:51;0;27051093;5139708;;;32190801;;;;;0;;;;;
150;33;Del Giro;96676670-0;Comercial Chrysler S.A.;477503;14-11-2017;14-11-2017 14:51;0;27051093;5139708;;;32190801;;;;;0;;;;;
151;33;Del Giro;96676670-0;Comercial Chrysler S.A.;477502;14-11-2017;14-11-2017 14:51;0;27051093;5139708;;;32190801;;;;;0;;;;;
152;33;Del Giro;96676670-0;Comercial Chrysler S.A.;477507;14-11-2017;14-11-2017 14:51;0;20230800;3843852;;;24074652;;;;;0;;;;;
153;33;Del Giro;96676670-0;Comercial Chrysler S.A.;477505;14-11-2017;14-11-2017 14:51;0;14294791;2716010;;;17010801;;;;;0;;;;;
154;33;Del Giro;96676670-0;Comercial Chrysler S.A.;477506;14-11-2017;14-11-2017 14:51;0;14294791;2716010;;;17010801;;;;;0;;;;;
155;33;Del Giro;76245828-4;Porsche Chile SpA;1229698;14-11-2017;14-11-2017 14:39;0;470631;89420;;;560051;;;;;0;;;;;
156;33;Del Giro;93297000-7;SUBARU CHILE S.A.;163808;14-11-2017;14-11-2017 14:53;0;290093;55118;;;345211;;;;;0;;;;;
157;33;Del Giro;93297000-7;SUBARU CHILE S.A.;163805;14-11-2017;14-11-2017 14:41;0;202055;38390;;;240445;;;;;0;;;;;
158;33;Del Giro;96555640-0;Comercial Itala S.A.;194932;14-11-2017;14-11-2017 14:54;0;8639700;1641543;;;10281243;;;;;0;;;;;
159;33;Del Giro;76832940-0;Newco Motor Chile S.A.;126404;14-11-2017;14-11-2017 14:58;0;7104874;1349926;;;8454800;;;;;0;;;;;
160;33;Del Giro;76832940-0;Newco Motor Chile S.A.;126405;14-11-2017;14-11-2017 14:58;0;4244369;806430;;;5050799;;;;;0;;;;;
161;33;Del Giro;76832940-0;Newco Motor Chile S.A.;126403;14-11-2017;14-11-2017 14:58;0;8883025;1687775;;;10570800;;;;;0;;;;;
162;33;Del Giro;93297000-7;SUBARU CHILE S.A.;163809;14-11-2017;14-11-2017 14:59;0;18540;3523;;;22063;;;;;0;;;;;
163;33;Del Giro;96931150-K;KIA CHILE S.A.;504234;14-11-2017;14-11-2017 14:59;0;122331;23243;;;145574;;;;;0;;;;;
164;33;Del Giro;76733480-K;COMERCIAL TIER S.A.;12184;14-11-2017;14-11-2017 14:48;0;157165;29861;;;187026;;;;;0;;;;;
165;33;Del Giro;96931150-K;KIA CHILE S.A.;504229;14-11-2017;14-11-2017 14:53;0;217142;41257;;;258399;;;;;0;;;;;
166;33;Del Giro;96931150-K;KIA CHILE S.A.;504238;14-11-2017;14-11-2017 15:08;0;69190;13146;;;82336;;;;;0;;;;;
167;33;Del Giro;96931150-K;KIA CHILE S.A.;504240;14-11-2017;14-11-2017 15:08;0;63434;12052;;;75486;;;;;0;;;;;
168;33;Del Giro;76390989-1;NISSAN NISSAN CHILE SPA;248207;14-11-2017;14-11-2017 14:57;0;47542;9033;;;56575;;;;;0;;;;;
